Date	SYBASE	WM	MICROSTRATEGY	XEROX	LH	ENRON	GLOBALCROSSING	QWEST	ADELPHIA	PEREGRINE	CMSENERGY	DYNEGYHOLDINGS	MCIWORLDCOM	ELPASO	HALLIBURTON	MERRILLLYNCH	MERCKCOMPANY	DUKEENERGY	BRISTOLMYERS	NICORDEAD	MIRANT	IMCLONESYS	SP500
1-1-1996	414,39	368,29	NA	248,47	NA	4764,76	NA	NA	48,28	NA	455,99	68,96	NA	NA	413,76	1371,77	2365,79	2367,81	2255,78	1109,12	NA	54,46	615,93
2-1-1996	427,34	365,85	NA	247,56	NA	4717,89	NA	NA	45,69	NA	457,9	68,96	NA	NA	403,54	1378,5	2316,22	2386,56	2249,22	1104,08	NA	53,57	620,73
3-1-1996	417,27	360,98	NA	247,34	NA	4702,27	NA	NA	47,41	NA	459,81	69,93	NA	NA	392,3	1405,4	2284,68	2386,56	2222,95	1093,99	NA	58,93	621,32
4-1-1996	405,76	358,54	NA	242,12	NA	4671,03	NA	NA	47,84	NA	455,99	67,02	NA	NA	386,17	1354,96	2298,19	2367,81	2206,38	1093,99	NA	56,25	617,7
5-1-1996	404,32	351,22	NA	239,4	NA	4671,03	NA	NA	48,28	NA	455,99	67,99	NA	NA	389,24	1385,22	2271,16	2380,31	2196,45	1093,99	NA	58,04	616,71
8-1-1996	401,44	353,66	NA	238,95	NA	4749,14	NA	NA	47,41	NA	459,81	69,93	NA	NA	390,26	1381,86	2302,7	2392,8	2222,95	1104,08	NA	58,04	618,46
9-1-1996	372,66	351,22	NA	238,72	NA	4780,38	NA	NA	48,28	NA	461,72	69,93	NA	NA	387,19	1348,24	2289,18	2399,05	2209,7	1088,95	NA	54,46	609,45
10-1-1996	374,1	348,78	NA	236,23	NA	4655,41	NA	NA	48,28	NA	450,27	69,93	NA	NA	379,02	1328,07	2208,07	2367,81	2193,13	1063,75	NA	52,68	598,48
11-1-1996	362,59	346,34	NA	238,27	NA	4671,03	NA	NA	47,41	NA	452,18	71,87	NA	NA	383,11	1365,05	2217,08	2392,8	2163,32	1063,75	NA	56,25	602,69
12-1-1996	330,94	351,22	NA	238,27	NA	4592,92	NA	NA	50	NA	450,27	72,84	NA	NA	384,13	1368,41	2239,61	2367,81	2169,94	1063,75	NA	54,46	601,81
15-1-1996	338,13	351,22	NA	237,14	NA	4577,29	NA	NA	50	NA	450,27	72,84	NA	NA	381,06	1368,41	2293,69	2367,81	2183,19	1053,66	NA	51,79	599,82
16-1-1996	341,01	341,46	NA	243,26	NA	4592,92	NA	NA	51,72	NA	455,99	70,9	NA	NA	382,09	1425,57	2334,24	2392,8	2252,77	1068,79	NA	54,02	608,44
17-1-1996	358,27	341,46	NA	247,79	NA	4499,18	NA	NA	57,76	NA	469,35	69,93	NA	NA	378	1476	2361,28	2399,05	2229,57	1068,79	NA	57,14	606,37
18-1-1996	381,29	348,78	NA	253,68	NA	4483,56	NA	NA	56,03	NA	465,53	69,93	NA	NA	385,15	1476	2352,27	2399,05	2219,64	1063,75	NA	58,48	608,24
19-1-1996	404,32	351,22	NA	253,23	NA	4467,94	NA	NA	51,72	NA	465,53	69,93	NA	NA	375,96	1469,28	2361,28	2374,06	2242,83	1068,79	NA	57,14	611,83
22-1-1996	402,88	368,29	NA	256,41	NA	4530,43	NA	NA	50,86	NA	459,81	74,79	NA	NA	381,06	1455,83	2388,32	2361,57	2229,57	1063,75	NA	57,14	613,4
23-1-1996	392,81	368,29	NA	256,86	NA	4592,92	NA	NA	51,72	NA	463,63	79,64	NA	NA	373,91	1476	2410,85	2380,31	2282,58	1063,75	NA	56,7	612,79
24-1-1996	407,19	368,29	NA	229,65	NA	4467,94	NA	NA	51,72	NA	463,63	80,61	NA	NA	411,65	1465,92	2446,9	2430,29	2295,83	1063,75	NA	58,04	619,96
25-1-1996	392,81	368,29	NA	223,76	NA	4514,8	NA	NA	53,45	NA	465,53	79,64	NA	NA	422,37	1439,02	2410,85	2417,8	2279,27	1058,7	NA	57,14	617,03
26-1-1996	385,61	368,29	NA	220,81	NA	4577,29	NA	NA	51,72	NA	465,53	78,67	NA	NA	425,58	1435,66	2446,9	2449,03	2299,15	1048,62	NA	57,14	621,62
29-1-1996	379,86	368,29	NA	217,41	NA	4577,29	NA	NA	53,45	NA	467,44	77,7	NA	NA	428,8	1469,28	2482,95	2480,27	2312,4	1063,75	NA	56,7	624,22
30-1-1996	372,66	368,29	NA	222,4	NA	4546,05	NA	NA	50,86	NA	473,17	78,67	NA	NA	429,87	1533,16	2528,01	2474,02	2335,59	1073,83	NA	55,36	630,15
31-1-1996	394,24	368,29	NA	224,21	NA	4624,16	NA	NA	51,72	NA	475,07	79,64	NA	NA	442,74	1536,79	2528,01	2486,52	2345,53	1099,04	NA	50	636,02
1-2-1996	391,37	368,29	NA	228,75	NA	4592,92	NA	NA	52,59	NA	471,26	81,59	NA	NA	443,81	1546,92	2523,51	2486,52	2338,9	1099,04	NA	46,87	638,46
2-2-1996	381,29	368,29	NA	227,16	NA	4561,67	NA	NA	53,88	NA	469,35	81,59	NA	NA	440,59	1513,15	2500,98	2449,03	2325,65	1099,04	NA	50,89	635,84
5-2-1996	391,37	368,29	NA	228,07	NA	4546,05	NA	NA	51,72	NA	476,98	83,53	NA	NA	430,94	1557,06	2491,96	2486,52	2358,78	1114,16	NA	48,21	641,43
6-2-1996	391,37	368,29	NA	237,36	NA	4499,18	NA	NA	51,72	NA	482,55	84,5	NA	NA	449,17	1594,21	2428,88	2530,25	2345,53	1114,16	NA	48,21	646,33
7-2-1996	385,61	368,29	NA	234,64	NA	4499,18	NA	NA	52,59	NA	482,55	85,47	NA	NA	437,38	1627,98	2487,46	2555,24	2372,03	1139,37	NA	47,32	649,93
8-2-1996	382,73	368,29	NA	237,14	NA	4655,41	NA	NA	48,28	NA	486,4	88,38	NA	NA	447,02	1634,74	2523,51	2567,74	2372,03	1144,41	NA	46,43	656,07
9-2-1996	366,91	368,29	NA	239,4	NA	4842,87	NA	NA	51,72	NA	482,55	92,27	NA	NA	455,6	1655	2523,51	2567,74	2362,09	1149,45	NA	46,43	656,37
12-2-1996	362,59	368,29	NA	238,72	NA	4889,74	NA	NA	50,86	NA	488,32	90,33	NA	NA	458,82	1671,89	2546,04	2617,72	2322,34	1159,53	NA	47,32	661,45
13-2-1996	358,27	368,29	NA	237,14	NA	4874,12	NA	NA	50,86	NA	490,24	88,38	NA	NA	454,53	1651,63	2537,03	2630,21	2348,84	1159,53	NA	49,11	660,51
14-2-1996	369,06	368,29	NA	237,14	NA	4827,25	NA	NA	50,86	NA	490,24	91,3	NA	NA	453,46	1644,87	2546,04	2586,98	2325,65	1139,37	NA	50	655,58
15-2-1996	376,98	368,29	NA	233,73	NA	4874,12	NA	NA	50	NA	488,32	89,36	NA	NA	462,03	1600,96	2509,99	2599,6	2322,34	1154,49	NA	50,89	651,32
16-2-1996	372,66	368,29	NA	231,69	NA	4874,12	NA	NA	53,45	NA	486,4	89,36	NA	NA	462,03	1600,96	2478,44	2580,67	2299,15	1159,53	NA	50	647,98
19-2-1996	372,66	368,29	NA	231,69	NA	4874,12	NA	NA	53,45	NA	486,4	89,36	NA	NA	462,03	1600,96	2478,44	2580,67	2299,15	1159,53	NA	50	647,98
20-2-1996	369,78	368,29	NA	235,09	NA	4858,49	NA	NA	52,59	NA	474,86	87,41	NA	NA	456,67	1560,43	2397,33	2523,88	2272,64	1134,33	NA	44,64	640,65
21-2-1996	376,98	368,29	NA	235,55	NA	4842,87	NA	NA	51,72	NA	472,94	87,41	NA	NA	475,97	1580,7	2406,34	2530,19	2282,58	1144,41	NA	49,11	648,1
22-2-1996	401,44	368,29	NA	238,27	NA	4858,49	NA	NA	52,59	NA	476,79	88,38	NA	NA	471,68	1617,85	2424,37	2523,88	2322,34	1149,45	NA	48,21	658,86
23-2-1996	401,44	368,29	NA	242,58	NA	4874,12	NA	NA	53,45	NA	478,71	88,38	NA	NA	478,11	1631,36	2424,37	2523,88	2302,46	1144,41	NA	49,11	659,08
26-2-1996	391,37	368,29	NA	242,35	NA	4858,49	NA	NA	51,72	NA	469,09	90,33	NA	NA	468,46	1611,1	2374,8	2517,57	2272,64	1114,16	NA	47,32	650,46
27-2-1996	391,37	368,29	NA	244,16	NA	4749,14	NA	NA	52,59	NA	474,86	90,33	NA	NA	464,18	1570,57	2347,76	2555,43	2262,7	1109,12	NA	45,54	647,24
28-2-1996	382,73	368,29	NA	244,83	NA	4713,21	NA	NA	56,9	NA	472,94	89,36	NA	NA	467,39	1557,06	2374,8	2504,95	2269,33	1109,12	NA	45,98	644,75
29-2-1996	361,15	368,29	NA	237,76	NA	4603,23	NA	NA	56,9	NA	467,17	88,38	NA	NA	470,61	1557,06	2388,32	2467,09	2256,08	1073,83	NA	44,64	640,43
1-3-1996	343,88	368,29	NA	236,62	NA	4634,65	NA	NA	53,45	NA	469,09	87,41	NA	NA	472,75	1580,7	2428,88	2486,02	2292,52	1119,2	NA	44,64	644,37
4-3-1996	343,88	368,29	NA	235,48	NA	4666,07	NA	NA	54,31	NA	469,09	87,41	NA	NA	464,18	1607,72	2464,93	2504,95	2309,08	1124,24	NA	46,43	650,81
5-3-1996	353,96	368,29	NA	240,5	NA	4650,36	NA	NA	54,31	NA	463,33	85,47	NA	NA	460,95	1627,98	2482,95	2504,95	2325,65	1134,33	NA	49,11	655,79
6-3-1996	349,64	368,29	NA	236,85	NA	4618,95	NA	NA	53,45	NA	461,41	84,5	NA	NA	473,87	1611,1	2400,58	2504,95	2299,15	1124,24	NA	49,55	652
7-3-1996	342,45	368,29	NA	237,53	NA	4587,52	NA	NA	53,88	NA	463,33	84,5	NA	NA	477,1	1607,72	2427,75	2523,88	2315,71	1124,24	NA	54,46	653,65
8-3-1996	322,3	368,29	NA	230,92	NA	4493,26	NA	NA	50	NA	446,02	81,59	NA	NA	462,02	1509,77	2332,64	2429,24	2242,83	1099,04	NA	52,68	633,5
11-3-1996	320,86	368,29	NA	235,94	NA	4477,55	NA	NA	53,45	NA	447,95	83,53	NA	NA	453,41	1499,64	2350,75	2435,55	2279,27	1109,12	NA	56,25	640,02
12-3-1996	328,06	368,29	NA	234,79	NA	4430,41	NA	NA	50	NA	442,18	85,47	NA	NA	458,79	1492,88	2287,34	2410,31	2272,64	1104,08	NA	62,5	637,09
13-3-1996	333,81	368,29	NA	237,99	NA	4414,7	NA	NA	51,72	NA	438,33	86,44	NA	NA	484,64	1516,52	2232,99	2448,16	2249,45	1119,2	NA	62,05	638,55
14-3-1996	322,3	368,29	NA	243,24	NA	4430,41	NA	NA	51,72	NA	434,49	87,41	NA	NA	500,79	1523,28	2246,58	2460,78	2232,89	1119,2	NA	60,71	640,87
15-3-1996	309,35	368,29	NA	243,01	NA	4383,28	NA	NA	50	NA	438,33	89,36	NA	NA	497,56	1540,17	2251,11	2435,55	2239,51	1114,16	NA	57,14	641,43
18-3-1996	306,47	368,29	NA	245,06	NA	4477,55	NA	NA	50,86	NA	453,71	89,36	NA	NA	502,95	1570,57	2273,75	2473,4	2236,2	1134,33	NA	56,25	652,65
19-3-1996	307,91	368,29	NA	240,95	NA	4524,68	NA	NA	50	NA	457,56	89,36	NA	NA	499,72	1573,94	2251,11	2479,71	2252,77	1134,33	NA	54,46	651,69
20-3-1996	307,91	368,29	NA	238,22	NA	4524,68	NA	NA	48,28	NA	461,41	88,38	NA	NA	494,33	1567,19	2282,81	2530,19	2259,39	1134,33	NA	54,91	649,98
21-3-1996	300,72	368,29	NA	237,76	NA	4571,81	NA	NA	49,14	NA	459,48	87,51	NA	NA	497,56	1570,57	2373,4	2530,19	2289,21	1139,37	NA	60,71	649,19
22-3-1996	284,17	368,29	NA	237,53	NA	4603,23	NA	NA	48,71	NA	461,41	89,45	NA	NA	491,1	1577,32	2300,93	2536,5	2292,52	1139,37	NA	62,5	650,62
25-3-1996	261,87	368,29	NA	236,16	NA	4666,07	NA	NA	47,41	NA	457,56	89,45	NA	NA	493,25	1600,96	2264,69	2593,29	2272,64	1144,41	NA	63,84	650,04
26-3-1996	283,45	368,29	NA	236,16	NA	4650,36	NA	NA	48,28	NA	455,64	92,37	NA	NA	493,25	1594,21	2323,58	2568,05	2305,77	1149,45	NA	62,5	652,97
27-3-1996	284,89	368,29	NA	235,25	NA	4744,63	NA	NA	48,28	NA	463,33	93,34	NA	NA	493,25	1614,47	2287,34	2568,05	2249,45	1142,59	NA	62,5	648,91
28-3-1996	256,11	368,29	NA	232,74	NA	4776,05	NA	NA	49,14	NA	457,56	95,29	NA	NA	493,25	1638,12	2282,81	2549,12	2272,64	1122,19	NA	61,16	648,94
29-3-1996	267,63	368,29	NA	229,09	NA	4634,65	NA	NA	48,28	NA	453,71	99,18	NA	NA	490,02	1641,49	2255,64	2549,12	2268,5	1091,59	NA	62,5	645,5
1-4-1996	261,87	368,29	NA	236,16	NA	4650,36	NA	NA	48,28	NA	463,33	95,29	NA	NA	502,95	1695,54	2296,4	2561,74	2319,02	1127,29	NA	61,61	653,73
2-4-1996	297,12	368,29	NA	235,48	NA	4650,36	NA	NA	50	NA	465,25	97,23	NA	NA	505,1	1698,91	2300,93	2549,12	2309,08	1106,89	NA	60,71	655,26
3-4-1996	303,6	368,29	NA	235,48	NA	4666,07	NA	NA	48,28	NA	465,25	100,15	NA	NA	502,95	1675,27	2300,93	2530,19	2312,43	1091,59	NA	60,71	655,88
4-4-1996	284,89	368,29	NA	235,02	NA	4713,21	NA	NA	45,69	NA	459,48	102,09	NA	NA	506,18	1665,14	2314,52	2498,64	2335,82	1096,69	NA	62,5	655,86
5-4-1996	284,89	368,29	NA	235,02	NA	4713,21	NA	NA	45,69	NA	459,48	102,09	NA	NA	506,18	1665,14	2314,52	2498,64	2335,82	1096,69	NA	62,5	655,86
8-4-1996	284,17	368,29	NA	230,92	NA	4634,65	NA	NA	46,55	NA	440,26	99,18	NA	NA	488,95	1580,7	2242,05	2422,93	2289,03	1071,18	NA	60,71	644,24
9-4-1996	283,45	368,29	NA	231,6	NA	4728,92	NA	NA	48,28	NA	447,95	104,04	NA	NA	505,1	1570,57	2214,87	2429,24	2228,88	1096,69	NA	59,82	642,19
10-4-1996	282,01	368,29	NA	233,88	NA	4728,92	NA	NA	50	NA	442,18	108,9	NA	NA	499,72	1543,55	2128,81	2397,69	2138,66	1081,38	NA	58,04	633,5
11-4-1996	279,14	368,29	NA	232,97	NA	4728,92	NA	NA	49,57	NA	440,26	109,87	NA	NA	498,64	1519,9	2151,46	2391,38	2162,05	1060,98	NA	56,25	631,18
12-4-1996	280,58	368,29	NA	232,28	NA	4744,63	NA	NA	48,28	NA	447,95	112,79	NA	NA	484,64	1560,43	2196,75	2410,31	2205,49	1076,28	NA	58,93	636,71
15-4-1996	299,28	368,29	NA	239,13	NA	4760,34	NA	NA	48,28	NA	446,02	109,87	NA	NA	478,18	1594,21	2178,64	2441,86	2182,1	1091,59	NA	65,18	642,49
16-4-1996	289,21	368,29	NA	237,99	NA	4791,76	NA	NA	49,57	NA	451,79	115,71	NA	NA	490,02	1563,81	2174,11	2441,86	2202,15	1106,89	NA	68,3	645
17-4-1996	290,65	368,29	NA	239,81	NA	4776,05	NA	NA	48,28	NA	444,1	115,71	NA	NA	474,95	1570,57	2183,17	2441,86	2168,73	1106,89	NA	68,75	641,61
18-4-1996	284,89	368,29	NA	244,15	NA	4807,47	NA	NA	53,45	NA	447,95	113,76	NA	NA	474,95	1611,1	2223,93	2441,86	2192,13	1117,09	NA	67,86	643,61
19-4-1996	282,73	368,29	NA	244,83	NA	4886,03	NA	NA	52,16	NA	447,95	115,71	NA	NA	480,33	1617,85	2242,05	2410,31	2188,78	1127,29	NA	66,07	645,07
22-4-1996	286,33	368,29	NA	245,52	NA	4948,87	NA	NA	52,59	NA	446,02	118,62	NA	NA	499,72	1638,12	2232,99	2378,76	2178,76	1142,59	NA	69,2	647,89
23-4-1996	282,73	368,29	NA	255,1	NA	4980,29	NA	NA	51,72	NA	444,1	115,71	NA	NA	493,25	1631,36	2237,52	2366,14	2162,05	1147,69	NA	76,79	651,58
24-4-1996	280,58	368,29	NA	257,16	NA	5137,4	NA	NA	50	NA	444,1	117,65	NA	NA	497,56	1604,34	2187,69	2368,5	2162,05	1137,49	NA	89,29	650,17
25-4-1996	280,58	368,29	NA	264,69	NA	5090,27	NA	NA	50,86	NA	444,1	117,65	NA	NA	497,56	1621,23	2178,64	2347,21	2182,1	1152,8	NA	93,75	652,87
26-4-1996	280,58	368,29	NA	274,95	NA	5074,55	NA	NA	52,59	NA	446,02	117,65	NA	NA	498,64	1631,36	2174,11	2353,52	2192,13	1142,59	NA	99,11	653,46
29-4-1996	296,4	368,29	NA	272,67	NA	5153,11	NA	NA	48,28	NA	446,02	116,68	NA	NA	495,41	1638,12	2201,28	2353,52	2218,86	1142,59	NA	100	654,16
30-4-1996	315,11	368,29	NA	267,42	NA	5058,84	NA	NA	48,28	NA	447,95	116,68	NA	NA	494,33	1631,36	2192,22	2372,45	2198,81	1137,49	NA	95,54	654,17
1-5-1996	310,79	368,29	NA	270,85	NA	5058,84	NA	NA	47,41	NA	446,02	116,68	NA	NA	487,87	1648,25	2196,75	2397,69	2198,81	1152,8	NA	94,64	654,58
2-5-1996	297,84	368,29	NA	272,22	NA	4964,58	NA	NA	49,14	NA	440,26	114,74	NA	NA	458,79	1571,92	2128,81	2372,45	2172,08	1117,09	NA	90,18	643,38
3-5-1996	294,96	368,29	NA	275,64	NA	4854,61	NA	NA	50	NA	442,18	114,74	NA	NA	448,02	1582,1	2110,7	2334,59	2175,42	1096,69	NA	100	641,63
6-5-1996	302,16	368,29	NA	273,81	NA	4917,45	NA	NA	50	NA	442,03	112,79	NA	NA	457,71	1565,13	2065,4	2334,59	2131,98	1106,89	NA	100,89	640,81
7-5-1996	303,6	368,29	NA	273,36	NA	4838,89	NA	NA	47,41	NA	442,03	108,9	NA	NA	440,48	1592,29	2092,58	2353,52	2131,98	1101,79	NA	92,86	638,26
8-5-1996	300,72	368,29	NA	271,76	NA	4886,03	NA	NA	50,86	NA	443,96	105,98	NA	NA	438,33	1626,24	2151,46	2397,69	2168,73	1111,99	NA	97,32	644,77
9-5-1996	299,28	368,29	NA	273,81	NA	4964,58	NA	NA	50,86	NA	451,72	107,93	NA	NA	449,64	1612,66	2115,22	2410,31	2155,37	1117,09	NA	111,61	645,44
