Date,Mkt-RF,SMB,HML,RF
1996-01-02,0.59,-0.35,-0.16,0.019
1996-01-03,-0.08,-0.25,0.66,0.019
1996-01-04,-0.82,-0.33,0.25,0.019
1996-01-05,-0.15,0.73,-0.17,0.019
1996-01-08,0.24,-0.23,-0.06,0.019
1996-01-09,-1.67,0.19,1.17,0.019
1996-01-10,-1.62,0.27,0.07,0.019
1996-01-11,0.87,0.02,-0.63,0.019
1996-01-12,-0.13,-0.13,0.23,0.019
1996-01-15,-0.58,-0.43,0.7,0.019
1996-01-16,1.02,-1.42,0.05,0.019
1996-01-17,-0.09,0.22,0.27,0.019
1996-01-18,0.37,0.24,-0.67,0.019
1996-01-19,0.57,-0.23,-0.49,0.019
1996-01-22,0.41,0.08,-0.3,0.019
1996-01-23,-0.02,0.39,-0.18,0.019
1996-01-24,1.05,-0.39,-0.4,0.019
1996-01-25,-0.4,0.45,0.31,0.019
1996-01-26,0.63,-0.38,-0.44,0.019
1996-01-29,0.37,-0.35,0.28,0.019
1996-01-30,0.91,-0.41,-0.08,0.019
1996-01-31,0.83,-0.32,-0.17,0.019
1996-02-01,0.43,0.19,-0.43,0.02
1996-02-02,-0.28,0.47,-0.43,0.02
1996-02-05,0.74,-0.51,-0.38,0.02
1996-02-06,0.68,-0.35,-0.06,0.02
1996-02-07,0.36,-0.69,0.17,0.02
1996-02-08,0.8,-0.38,-0.43,0.02
1996-02-09,0.08,0.16,0,0.02
1996-02-12,0.54,-0.6,0.19,0.02
1996-02-13,-0.2,-0.37,0.58,0.02
1996-02-14,-0.46,0.89,-0.02,0.02
1996-02-15,-0.31,0.47,-0.18,0.02
1996-02-16,-0.39,0.73,0.04,0.02
1996-02-20,-1.05,0.31,-0.16,0.02
1996-02-21,1.05,-0.33,-0.57,0.02
1996-02-22,1.57,-0.53,-0.54,0.02
1996-02-23,0.08,0.13,-0.06,0.02
1996-02-26,-1.05,0.95,0.34,0.02
1996-02-27,-0.44,0.27,0.28,0.02
1996-02-28,-0.19,0.37,0.28,0.02
1996-02-29,-0.6,0.64,-0.03,0.02
1996-03-01,0.25,-0.61,0.74,0.019
1996-03-04,0.92,-0.55,-0.04,0.019
1996-03-05,0.68,-0.39,-0.48,0.019
1996-03-06,-0.38,0.45,0.29,0.019
1996-03-07,0.18,-0.09,-0.13,0.019
1996-03-08,-2.91,0.66,0.08,0.019
1996-03-11,0.92,-0.09,-0.64,0.019
1996-03-12,-0.49,0.26,0.09,0.019
1996-03-13,0.42,0.3,-0.04,0.019
1996-03-14,0.41,0.17,0.02,0.019
1996-03-15,0.17,-0.02,-0.46,0.019
1996-03-18,1.47,-0.72,-0.04,0.019
1996-03-19,-0.15,0.19,0.42,0.019
1996-03-20,-0.28,0.18,0.35,0.019
1996-03-21,-0.09,0.33,0.01,0.019
1996-03-22,0.2,0,-0.08,0.019
1996-03-25,-0.3,-0.41,0.99,0.019
1996-03-26,0.28,-0.3,-0.01,0.019
1996-03-27,-0.34,0.65,-0.02,0.019
1996-03-28,0.04,0.07,0.08,0.019
1996-03-29,-0.21,1.16,-0.13,0.019
1996-04-01,1.04,-0.8,-0.04,0.022
1996-04-02,0.21,0.2,-0.14,0.022
1996-04-03,0.13,0.29,-0.16,0.022
1996-04-04,0.04,0.23,0.01,0.022
1996-04-08,-1.67,0.7,-0.31,0.022
1996-04-09,-0.13,0.57,0.19,0.022
1996-04-10,-1.19,0.98,-0.32,0.022
1996-04-11,-0.54,0.33,-0.22,0.022
1996-04-12,0.83,-0.52,0.13,0.022
1996-04-15,0.81,-0.05,-0.3,0.022
1996-04-16,0.49,0.18,-0.69,0.022
1996-04-17,-0.49,0.32,0.36,0.022
