,France,Spain,Japan,Italy,Australia,Norway,Canada,Switzerland,Germany,Belguim,Austria,Sweden,Netherlands,UK,ct,Mkt_RF,CrossVar,CrossSkew,CrossKur,Cste,Lag_W_Consgrowth,Lag_Term_Spread,Lag_Cay
Q1 1970,-0.56870084426838,-0.5141963923845762,-0.5318086626260691,-0.520286452756158,-0.615258906405615,-0.498880058996893,-0.4909393128123206,-0.6123126883857998,-0.6383859128664652,-0.5506190302163066,-0.5859667935220797,-0.6437434232251423,-0.6015009870620626,-0.6044672288822476,2.4687635483360912,-1.06,10.655223071353209,-1.2933277490579898,1.8153743293573683,1,,,
Q2 1970,-0.6887507450497575,-0.6728203512947005,-0.715473460180485,-0.7282418998157069,-0.6424488062094501,-0.594711252581482,-0.7966001012097407,-0.6990187112106881,-0.7609861173772322,-0.6182784068881569,-0.5261210414080598,-0.6857421587496048,-0.6658758810915105,-0.6909516840215647,2.660091488101311,-5.79,5.2339928655220165,-0.73240991909986,1.239495455313282,1,0.0370309870621884,0.080782,-0.02606305
Q3 1970,-0.5139320169582406,-0.5457968160243727,-0.5577808655349257,-0.5349694705434498,-0.5133288220743148,-0.3454476559109825,-0.3760718516400363,-0.5018989457481267,-0.4830968368025941,-0.4748775907817029,-0.466156144323179,-0.5428999768672949,-0.406179079430494,-0.4451378107133399,2.75213236858258,4.18,9.953400523795251,-0.22272617571472572,0.3177391442081037,1,0.0348057148836071,-0.05335499999999999,-0.024923509
Q4 1970,-0.39170076481607735,-0.41489869175027044,-0.42573834780442704,-0.5198199713016542,-0.5520453058360237,-0.37668822673491237,-0.36691234083612395,-0.43836778178644137,-0.49986492845869007,-0.3968761639798473,-0.4233052847418773,-0.44837251019653573,-0.5041984054692854,-0.4288217999023481,2.1279792222249183,5.72,6.774182150285802,-0.16220125196864263,-0.6824985341363199,1,0.0399305840403277,0.026688999999999997,-0.031320803
Q1 1971,-0.2739066307721309,-0.25286230789892555,-0.12010933764810544,-0.2914106566244305,-0.2858570220919889,-0.32761010054802514,-0.2271674085538919,-0.156004748269223,-0.1124183173630861,-0.2087361945022474,-0.31372254370417546,-0.14852495312526165,-0.2566408037813696,-0.22908824066682704,1.1880020169748282,4.13,6.589830994070075,-0.4192652802424119,-0.5739272439131651,1,0.0322482158032948,0.065278,-0.03582528
Q2 1971,-0.33454491972328426,-0.3362989036260168,-0.23321831262887371,-0.47174102357106473,-0.4241228054841021,-0.06383740546574657,-0.3899657979601735,-0.38966536616624114,-0.4274452928417326,-0.31545284808863705,-0.3604672809861257,-0.3549301325124866,-0.3360308207310049,-0.20837856684453537,2.2234033320111126,-0.1,5.721280975258188,-0.046233880331101936,0.4872180772975492,1,0.0306304818308524,0.09577999999999999,-0.04100823
Q3 1971,-0.4815937509185967,-0.3216966029152911,-0.4735653427930887,-0.4931241440794806,-0.5755194471579078,-0.47159742021652995,-0.3500857267416383,-0.4038040246179849,-0.3999797796521366,-0.4328250192398223,-0.37842359774232637,-0.39995020362656486,-0.5105714853149877,-0.32161239902190164,2.094818752056516,-0.85,3.460551514252492,-0.7331761059602991,0.43955822102911135,1,0.0351788457801194,-0.079075,-0.046916453
Q4 1971,-0.36628190654894854,-0.3255450630854816,-0.27965916679113156,-0.3313396364221556,-0.2023729710627985,-0.4395566256765181,-0.32083613748418827,-0.31586243664283387,-0.3616249199951368,-0.360972986067681,-0.36773104646585064,-0.2559430780354325,-0.3953289153961784,-0.31927337254809085,1.9907497101178924,8.71,4.4670151562951785,-0.9775493544681404,0.06109977388962662,1,0.0312520152048359,0.072318,-0.043619693
Q1 1972,-0.09354404994715226,-0.1626171754746344,-0.09244378995882085,-0.2999623092796946,-0.1695649784169473,-0.279041500964031,-0.1924117479400116,-0.1340514606458716,-0.09571305320065226,-0.13402395477577977,-0.2554831878235704,-0.18520111970435904,-0.17623010838936848,-0.17575947090155752,3.704621712799631,0.63,3.5853057776970583,-0.23412554511965603,-0.8619852605995968,1,0.0411837548771809,0.014825,-0.040591807
Q2 1972,-0.26809536521253724,-0.19407772673504992,-0.12491812671046526,-0.19929118259807227,-0.23788130499687815,-0.20146983709464544,-0.23507627285495397,-0.3191016952509757,-0.30885981382446376,-0.267161921734079,-0.20206057149086204,-0.3099000896726016,-0.2099671190325027,-0.3083062670006757,2.715610866965956,-2.43,4.074794018862982,0.18266646551957802,-1.1912312065816555,1,0.0464926749976029,-0.014704,-0.040636151
Q3 1972,-0.24820468691736258,-0.2875195717247065,-0.18822613911324754,-0.36291118899039637,-0.42138632214058463,-0.3195728362776215,-0.2687282276646165,-0.23104170673478136,-0.3264683461828792,-0.28037736236682614,-0.21086315545810946,-0.2717386113116779,-0.30384084513532644,-0.37896264914576444,2.365636625892622,-1.14,4.9968729165046035,0.2776777278555273,0.13447447808485924,1,0.0469740228690478,0.005621,-0.033364191
Q4 1972,-0.4538829300834707,-0.31950698519513654,-0.08941850082136671,-0.289770556373777,-0.2980638754021675,-0.3928962931394223,-0.2923160692293364,-0.371922033604024,-0.3902804715807785,-0.32054527461430193,-0.3056188030922583,-0.3757781443843554,-0.3290438091958706,-0.2843511286151682,2.6957134160681115,0.62,7.366256448665317,0.1814068615062788,-0.6501309424584147,1,0.0527283342075514,-0.009712,-0.031477741000000004
Q1 1973,-0.3324614292141526,-0.30261837066719993,-0.48664978347615856,-0.3044907854163004,-0.5364061033229044,-0.19244369436154246,-0.47489990362644546,-0.5069524938336913,-0.38025956676818057,-0.35382477051413025,-0.3345667769781056,-0.438400562824886,-0.37647065950420094,-0.5644536042125807,3.006986973370299,-1.3,6.370154951956696,0.23305897407703752,-1.5803135062359912,1,0.0575724122385522,0.019459999999999998,-0.047133812000000004
Q2 1973,-0.46625320410146665,-0.5224363838944941,-0.5868131620265571,-0.27874814483820765,-0.5201247901393311,-0.15711827012313795,-0.5728640511514629,-0.5095276573403631,-0.6751997001056973,-0.446905211008197,-0.4813114421724809,-0.4666131828050599,-0.6245079874047674,-0.5091252957176142,2.822006513981647,-1.56,5.996652295935131,1.1719727621297833,0.9547106459471619,1,0.0638862147522402,-0.016111,-0.034177498
Q3 1973,-0.7524423865878388,-0.594730671040771,-0.7201183509954182,-0.8630408056561819,-0.8629234621713605,-0.7226831814022899,-0.587810288557017,-0.7183879094057465,-0.7478000922768734,-0.7368503492861892,-0.7199219426926774,-0.720708044851205,-0.7462866638685245,-0.7273295446251019,1.631010245737851,4.75,4.986858159899508,0.5566162016152815,2.4906148027009243,1,0.0537654076081485,-0.012594,-0.035712602
Q4 1973,-0.7495672583504825,-0.7490661799089858,-0.7955546762744884,-0.6926962536663138,-0.6822574069160753,-0.5379933514820937,-0.6810044596243102,-0.7365491173175526,-0.7019612661209956,-0.6871230262723603,-0.6871220123279075,-0.6714267368233461,-0.7249343477140634,-0.7802517514182051,1.3415411018819097,0.61,3.5915847454345355,-0.20859467246762875,-1.1678349947943265,1,0.043753851583433,0.00719,-0.037736915
Q1 1974,-0.5945435465251143,-0.4634835886122981,-0.5257968908848301,-0.4011421147405234,-0.4067182951086177,-0.6473276821822416,-0.5403121758203286,-0.5782710407056109,-0.5566063742395699,-0.578017618455299,-0.534955416341123,-0.40516305851951495,-0.6182158597122664,-0.7379356243023163,-1.2831832870849902,-2.81,18.48600695044488,-1.4323762072130135,2.2291426328477204,1,0.0329476792189044,-0.0066159999999999995,-0.036300172
Q2 1974,-0.7562339681591274,-0.5689486061995556,-0.5524091773852641,-0.8570143231383799,-0.8545058479826956,-0.8036334391813419,-0.7898196837266583,-0.7164067115254035,-0.6050821555029632,-0.7260866895210455,-0.6188340473062522,-0.6709047283962212,-0.6562434474785096,-0.7159860126346848,-1.071634816268848,-2.83,4.2676091289789255,-0.04535108637794133,-0.2762173049137542,1,0.0008165491862733031,-0.025005,-0.029528202000000003
Q3 1974,-1.0860610240177526,-1.012256652885688,-0.9745725766777862,-1.0106557673039123,-1.2144319325778161,-1.1099695702969457,-0.9868936370167654,-1.0175688665468292,-0.8585411158322764,-0.9621030488392575,-0.8394882440680873,-0.8857183357622884,-1.0002348958695904,-1.1296836235558785,-0.8741836813876017,-11.77,7.802601782062468,0.016178471848530687,-1.0133163053419345,1,0.00436439208566609,-0.033669,-0.017242602
Q4 1974,-0.5825921000932197,-0.7337646936377602,-0.7160638284922205,-0.7536310856898731,-0.46914668127864867,-0.7149361789493847,-0.6725971491704914,-0.7372689865269562,-0.6063339977397113,-0.6927439991496855,-0.6836888891564941,-0.7115252516651756,-0.6890900781080036,-0.8032960927549266,-3.054208047873114,-3.45,6.815618758909768,-0.5735779841698276,0.3236482643322489,1,0.00428140745758695,-0.014303,-0.00362426
Q1 1975,-0.12823563975921265,-0.395192192764293,-0.22656292617391555,-0.2709025390626499,-0.24121595797811352,-0.3667809819185102,-0.25290671986588525,-0.15332885846257743,-0.19822373433900414,-0.23128215848021033,-0.36023368201035205,-0.2686017795797982,-0.14547875204152821,0.16591672192799595,-1.4319573322598547,2.66,9.593519316988612,-0.5581448530841144,-0.059811420221378864,1,-0.0120913007451404,0.05482000000000001,-0.017182557
Q2 1975,-0.44821818343057435,-0.45997595440788946,-0.3856048793137548,-0.5628632200537387,-0.324537568899215,-0.38779575890400314,-0.3213934125233287,-0.38881587807321055,-0.4406348018232185,-0.3610221151913969,-0.437040920673242,-0.35271666663094675,-0.3732550927478691,-0.29994958675931543,-1.5659602623906947,4.83,4.690155647656618,0.12602388258532388,-0.5116296786224095,1,0.00922298176348874,0.001537,-0.016113014
Q3 1975,-0.4869919688506916,-0.5690711341364405,-0.6716194380041542,-0.6298187472231447,-0.4625977211688015,-0.6395298052941774,-0.5999884490016576,-0.6164860738237408,-0.5066194457064401,-0.5802724627526474,-0.5386400357947696,-0.47733578107433394,-0.5579269816225885,-0.3955206695338205,-1.093980834832987,-4.26,6.057755946199949,0.07678232192809785,-1.0820405208699708,1,0.0103078945181965,-0.0152,-0.045009185
Q4 1975,-0.38783580628894354,-0.34165853754097464,-0.3502312658989566,-0.4057685198666241,-0.3491427243266343,-0.529536190411211,-0.4880737726494302,-0.2940080600520294,-0.33648199128787093,-0.41804755607131616,-0.444983812609657,-0.4631682817401974,-0.2734328413273661,-0.38120236058615964,0.5035810564743588,-1.6,13.028638305946828,-0.7494622598014286,-0.22398167985210415,1,0.0140440623208331,-0.050547,-0.013775728999999999
Q1 1976,-0.3653404048044223,-0.5594415501240239,-0.3508158056729954,-0.42124304821495484,-0.3813385524557896,-0.34187657053086584,-0.2873137780639846,-0.39499292272511133,-0.3539795968952252,-0.3509916686022342,-0.3569654335018907,-0.33517467654692423,-0.28688461405460297,-0.34221385425333717,0.36136448554079503,2.32,6.211379426237107,-1.0284438897046655,0.5104528646575153,1,0.0345015161950318,0.048274,-0.012803799999999999
Q2 1976,-0.49585669256621606,-0.4518045740139843,-0.37728059526758556,-0.40274621893595725,-0.3679276315929852,-0.3922905900622518,-0.42640824532459415,-0.43360565726231065,-0.48872374544535574,-0.4892629156510469,-0.45080677944389286,-0.3804345856948344,-0.45174496673778847,-0.46164490360920524,1.0510474804880068,4.05,6.510392710959313,-0.5143075906557317,-1.4911788560038866,1,0.0390800018737543,0.026817,-0.010228866999999999
Q3 1976,-0.551943781840627,-0.44751169844886235,-0.45046018138330496,-0.49415317105846196,-0.42855935437277776,-0.45340517369912053,-0.46835850901329895,-0.4518041037760541,-0.4507383931224101,-0.5000162075581849,-0.4003039006888272,-0.5434348770536084,-0.5136493801122746,-0.5712825180328207,2.2354541000059327,2.07,4.74543964886806,-1.4172098257688128,3.479334646890784,1,0.038392829653417,-0.001437,-0.010633726000000001
Q4 1976,-0.377873733705672,-0.5270740421326693,-0.30275647595623545,-0.4137259941713666,-0.45514234857482416,-0.41994311995072275,-0.4001013359456357,-0.3575328249942592,-0.416473100257695,-0.3597105419281649,-0.41694552724100087,-0.4145121710024796,-0.3497635643022058,-0.25595893398880654,1.3777986719026296,5.65,7.059483528898346,-0.06128126365497911,-0.311000944762176,1,0.0378531299648086,0.023961,-0.0065953769999999995
Q1 1977,-0.5461882880513703,-0.4388464358462959,-0.42277118639172795,-0.4666597044026851,-0.3459558154706218,-0.4401175313492748,-0.3639088311435704,-0.3675824523749932,-0.36649395022950604,-0.381374461665379,-0.3684844844201135,-0.33905597769268525,-0.3115576004507635,-0.23821546076779587,0.8115302478703409,-1.37,8.46038489025021,-0.8385821597185288,-0.03945238166596132,1,0.0371824194575833,0.070408,-0.0005720580000000001
Q2 1977,-0.30472508879545634,-0.4182311616280586,-0.3887099318443431,-0.4427720082175305,-0.3758119119511415,-0.46137987968458793,-0.392086758893473,-0.4207225948197598,-0.3784205337658181,-0.36299515802352256,-0.43293076097613403,-0.5369912778055307,-0.35870752793636884,-0.3060781412465824,0.5199881955620204,4.71,10.456478092380134,-0.12921032941434318,-1.0895568277010321,1,0.0313841151702782,-0.03261,0.010392845
